SJAG_02783	B6K160
SJAG_04449	B6K6U9
SJAG_02393	B6K2C5
SJAG_00083	B6JUY4
SJAG_03410	B6K457
SJAG_02865	B6K1D9
SJAG_03126	B6K3E2
SJAG_01449	B6JXY9
SJAG_02709	B6K0Z1
SJAG_01127	B6JZT7
SJAG_03161	B6K3H7
SJAG_00415	B6JVK2
SJAG_00574	B6JW07
SJAG_02437	B6K2G8
SJAG_01714	B6JYP9
SJAG_00735	B6JWF9
SJAG_04763	B6K7P6
SJAG_03422	B6K469
SJAG_01958	B6JZC9
SJAG_00687	B6JWB3
SJAG_00224	B6JV24
SJAG_01605	B6JYE4
SJAG_00691	B6JWB7
SJAG_00714	B6JWD9
SJAG_02651	B6K0T6
SJAG_01568	B6JYA7
SJAG_00204	B6JV04
SJAG_00436	B6JVM1
SJAG_00527	B6JVW0
SJAG_02630	B6K0S1
SJAG_03457	B6K4A4
SJAG_02414	B6K2E6
SJAG_01615	B6JYF3
SJAG_01273	B6K081
SJAG_04316	B6K6I3
SJAG_02452	B6K2I2
SJAG_03645	B6K4T2
SJAG_04257	B6K6C8
SJAG_03708	B6K4Z3
SJAG_00934	B6JX08
SJAG_01201	B6K012
SJAG_03206	B6K3L6
SJAG_00006	B6JUR7
SJAG_04360	B6K6M4
SJAG_05020	B6K8E2
SJAG_01698	B6JYN2
SJAG_01417	B6JXV4
SJAG_00208	B6JV08
SJAG_03174	B6K3I9
SJAG_01191	B6K002
SJAG_02004	B6JZG5
SJAG_00678	B6JWA5
SJAG_02228	B6K1W5
SJAG_04242	B6K6B4
SJAG_03603	B6K4P1
SJAG_04457	B6K6V7
SJAG_00125	B6JXI4
SJAG_02487	B6K2M0
SJAG_01202	B6K013
SJAG_00116	B6JXH7
SJAG_00921	B6JWZ6
SJAG_03125	B6K3E1
SJAG_02348	B6K281
SJAG_04183	B6K655
SJAG_02292	B6K228
SJAG_03943	B6K5G8
SJAG_03982	B6K5K7
SJAG_02528	B6K2R2
SJAG_04309	B6K6H7
SJAG_04396	B6K6Q7
SJAG_02207	B6K1U6
SJAG_03683	B6K4W9
SJAG_01874	B6JZ50
SJAG_02844	B6K1B9
SJAG_00573	B6JW06
SJAG_04994	B6K8B7
SJAG_00937	B6JX11
SJAG_02530	B6K2R4
SJAG_01075	B6JXE7
SJAG_04084	B6K5V8
SJAG_00467	B6JVQ2
SJAG_04782	B6K7R5
SJAG_02485	B6K2L8
SJAG_04372	B6K6N5
SJAG_00164	B6JXM4
SJAG_04721	B6K7K7
SJAG_05327	B6K695
SJAG_02430	B6K2G1
SJAG_02337	B6K271
SJAG_02319	B6K254
SJAG_05889	T0S160
SJAG_00092	B6JUZ3
SJAG_01865	B6JZ41
SJAG_02867	B6K1E1
SJAG_00163	B6JXM3
SJAG_03366	B6K418
SJAG_01015	B6JX90
SJAG_03254	B6K3R3
SJAG_01509	B6JY50
SJAG_02281	B6K217
SJAG_01693	B6JYM7
SJAG_00099	B6JUZ9
SJAG_02088	B6JZP6
SJAG_01500	B6JY41
SJAG_03964	B6K5J0
SJAG_00954	B6JX27
SJAG_02981	B6K302
SJAG_03550	B6K4I9
SJAG_03369	B6K421
SJAG_02289	B6K225
SJAG_02985	B6K306
SJAG_01756	B6JYT7
SJAG_03699	B6K4Y4
SJAG_03577	B6K4L5
SJAG_02052	B6JZL1
SJAG_01832	B6JZ10
SJAG_02212	B6K1V2
SJAG_02648	B6K0T4
SJAG_00773	B6JWJ7
SJAG_02010	B6JZH0
SJAG_04006	B6K5N0
SJAG_02524	B6K2Q8
SJAG_01025	B6JXA1
SJAG_03839	B6K570
SJAG_03229	B6K3N9
SJAG_02500	B6K2N3
SJAG_00861	B6JWT6
SJAG_00747	B6JWH1
SJAG_04002	B6K5M6
SJAG_02033	B6JZJ3
SJAG_03869	B6K5A0
SJAG_00048	B6JUS3
SJAG_02082	B6JZP0
SJAG_02295	B6K231
SJAG_04541	B6K738
SJAG_02875	B6K1F0
SJAG_02335	B6K269
SJAG_03449	B6K496
SJAG_05745	T0TAZ8
SJAG_02138	B6K1M7
SJAG_04757	B6K7P0
SJAG_01375	B6JXR4
SJAG_05210	B6JX75
SJAG_04357	B6K6M1
SJAG_00389	B6JVH9
SJAG_02321	B6K256
SJAG_02928	B6K1J9
SJAG_03641	B6K4S9
SJAG_01433	B6JXX1
SJAG_02526	B6K2R0
SJAG_05050	B6K8F7
SJAG_00457	B6JVP2
SJAG_01659	B6JYJ8
SJAG_00426	B6JVL2
SJAG_04717	B6K7K3
SJAG_00310	B6JVA3
SJAG_03045	B6K363
SJAG_03406	B6K453
SJAG_01842	B6JZ20
SJAG_04163	B6K634
SJAG_02372	B6K2A4
SJAG_02541	B6K0I5
SJAG_02424	B6K2F5
SJAG_01086	B6JXF9
SJAG_03508	B6K4F2
SJAG_03238	B6K3P8
SJAG_06614	T0RSW0
SJAG_02070	B6JZM8
SJAG_05289	B6K385
SJAG_00397	B6JVI6
SJAG_03340	B6K3Z3
SJAG_04516	B6K713
SJAG_04966	B6K886
SJAG_03984	B6K5K9
SJAG_01885	B6JZ61
SJAG_01483	B6JY25
SJAG_02554	B6K0J7
SJAG_04042	B6K5R6
SJAG_02274	B6K209
SJAG_03893	B6K5C3
SJAG_05173	B6JUR5
SJAG_03719	B6K2S1
SJAG_04823	B6K7V1
SJAG_00412	B6JVJ9
SJAG_04617	B6K7A9
SJAG_03951	B6K5H7
SJAG_00296	B6JV89
SJAG_03808	B6K542
SJAG_04283	B6K6F1
SJAG_04554	B6K750
SJAG_00860	B6JWT5
SJAG_01627	B6JYG5
SJAG_04517	B6K714
SJAG_00450	B6JVN5
SJAG_05234	B6JXX8
SJAG_00834	B6JWQ5
SJAG_02118	B6K1K7
SJAG_05213	B6JX98
SJAG_02885	B6K1F7
SJAG_03563	B6K4K1
SJAG_01737	B6JYR9
SJAG_02594	B6K0N6
SJAG_02482	B6K2L5
SJAG_04264	B6K6D5
SJAG_03937	B6K5G2
SJAG_01665	B6JYK4
SJAG_01133	B6JZU3
SJAG_02513	B6K2P7
SJAG_00319	B6JVB2
SJAG_00854	B6JWS8
SJAG_02771	B6K149
SJAG_04903	B6K827
SJAG_01519	B6JY60
SJAG_01412	B6JXU9
SJAG_01392	B6JXT1
SJAG_03611	B6K4P9
SJAG_04400	B6K6R2
SJAG_04693	B6K7I1
SJAG_04220	B6K692
SJAG_05280	B6K184
SJAG_02977	B6K2Z8
SJAG_02260	B6K1Z6
SJAG_03282	B6K3U1
SJAG_04810	B6K7T9
SJAG_04696	B6K7I4
SJAG_00917	B6JWZ2
SJAG_03362	B6K414
SJAG_05242	B6JYM0
SJAG_01505	B6JY46
SJAG_03820	B6K553
SJAG_02949	B6K2X5
SJAG_00522	B6JVV5
SJAG_02293	B6K229
SJAG_04031	B6K5Q6
SJAG_05118	B6K8G5
SJAG_02995	B6K316
SJAG_02566	B6K0L0
SJAG_04687	B6K7H5
SJAG_01907	B6JZ81
SJAG_02153	B6K1P2
SJAG_03405	B6K452
SJAG_01140	B6JZV0
SJAG_00355	B6JVE7
SJAG_01774	B6JYV3
SJAG_04162	B6K633
SJAG_03594	B6K4N2
SJAG_01707	B6JYP2
SJAG_03942	B6K5G7
SJAG_00635	B6JW65
SJAG_02194	B6K1T2
SJAG_00297	B6JV90
SJAG_02100	B6JZQ5
SJAG_04353	B6K6L8
SJAG_00004	B6JUR6
SJAG_03078	B6K395
SJAG_02848	B6K1C3
SJAG_02791	B6K167
